1,Upenn,,,
594,Harrison 3rd Floor,591,D
595,Harrison 4th Floor,591,D
596,Harrison 5th Floor,591,D
597,Harrison 6th Floor,591,D
598,Harrison 7th Floor,591,D
599,Harrison 8th Floor,591,D
600,Harrison 9th Floor,591,D
601,Harrison 10th Floor,591,D
602,Harrison 11th Floor,591,D
603,Harrison 12th Floor,591,D
604,Harrison 13th Floor,591,D
605,Harrison 14th Floor,591,D
606,Harrison 15th Floor,591,D
607,Harrison 16th Floor,591,D
608,Harrison 17th Floor,591,D
609,Harrison 18th Floor,591,D
610,Harrison 19th Floor,591,D
611,Harrison 20th Floor,591,D
612,Harrison 21st Floor,591,D
613,Harrison 22nd Floor,591,D
614,Harrison 23rd Floor,591,D
615,Harrison 24th Floor,591,D
616,Rodin College House,575,D
617,Rodin 1st Floor,616,D
618,Rodin 2nd Floor,616,D
619,Rodin 3rd Floor,616,D
620,Rodin 4th Floor,616,D
621,Rodin 5th Floor,616,D
622,Rodin 6th Floor,616,D
623,Rodin 7th Floor,616,D
624,Rodin 8th Floor,616,D
625,Rodin 9th Floor,616,D
626,Rodin 10th Floor,616,D
627,Rodin 11th Floor,616,D
628,Rodin 12th Floor,616,D
629,Rodin 13th Floor,616,D
630,Rodin 14th Floor,616,D
631,Rodin 15th Floor,616,D
632,Rodin 16th Floor,616,D
633,Rodin 17th Floor,616,D
634,Rodin 18th Floor,616,D
635,Rodin 19th Floor,616,D
636,Rodin 20th Floor,616,D
